"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"15.09.2021","31.200,0","31.060,0","31.290,0","31.060,0","156,20K","0,65%"
"14.09.2021","31.000,0","30.520,0","31.000,0","30.520,0","68,80K","0,65%"
"13.09.2021","30.800,0","31.060,0","31.100,0","30.480,0","72,13K","-1,57%"
"10.09.2021","31.290,0","31.250,0","31.290,0","31.130,0","16,94K","-0,32%"
"09.09.2021","31.390,0","30.900,0","31.390,0","30.900,0","59,49K","1,19%"
"08.09.2021","31.020,0","31.000,0","31.080,0","30.800,0","174,19K","0,06%"
"07.09.2021","31.000,0","31.070,0","31.280,0","31.000,0","18,92K","-0,83%"
"06.09.2021","31.260,0","31.100,0","31.260,0","31.000,0","19,91K","-0,45%"
"03.09.2021","31.400,0","31.200,0","31.400,0","30.980,0","36,75K","0,64%"
"02.09.2021","31.200,0","31.300,0","31.400,0","31.150,0","74,49K","-0,32%"
"01.09.2021","31.300,0","31.330,0","31.600,0","31.050,0","144,66K","0,74%"
"31.08.2021","31.070,0","31.330,0","31.330,0","31.070,0","511,41K","-0,83%"
"30.08.2021","31.330,0","31.000,0","31.500,0","30.810,0","120,38K","0,42%"
"27.08.2021","31.200,0","30.980,0","31.200,0","30.920,0","83,53K","1,30%"
"26.08.2021","30.800,0","31.160,0","31.240,0","30.620,0","51,14K","-1,69%"
"25.08.2021","31.330,0","31.400,0","31.400,0","30.900,0","86,25K","-0,22%"
"24.08.2021","31.400,0","31.320,0","31.590,0","31.310,0","84,84K","-0,25%"
"23.08.2021","31.480,0","31.400,0","31.500,0","31.350,0","97,13K","0,67%"
"20.08.2021","31.270,0","31.680,0","31.680,0","31.100,0","125,77K","-1,04%"
"19.08.2021","31.600,0","31.300,0","31.600,0","30.310,0","217,36K","0,70%"
"18.08.2021","31.380,0","30.270,0","31.500,0","30.270,0","333,16K","2,89%"
"17.08.2021","30.500,0","29.400,0","30.500,0","29.400,0","204,87K","3,01%"
"13.08.2021","29.610,0","28.980,0","29.680,0","28.980,0","137,34K","2,14%"
"12.08.2021","28.990,0","28.500,0","29.800,0","28.500,0","380,25K","2,80%"
"11.08.2021","28.200,0","28.040,0","28.200,0","27.910,0","118,05K","1,44%"
"10.08.2021","27.800,0","27.520,0","27.950,0","27.520,0","59,26K","1,02%"
"09.08.2021","27.520,0","27.310,0","27.760,0","27.310,0","39,15K","0,99%"
"06.08.2021","27.250,0","27.530,0","27.630,0","27.000,0","66,02K","-1,02%"
"05.08.2021","27.530,0","28.100,0","28.200,0","27.530,0","54,00K","-2,34%"
"04.08.2021","28.190,0","27.580,0","28.190,0","27.570,0","149,12K","1,99%"
"03.08.2021","27.640,0","27.320,0","27.690,0","27.320,0","143,40K","-0,22%"
"02.08.2021","27.700,0","27.850,0","27.850,0","27.220,0","49,73K","2,21%"
"30.07.2021","27.100,0","27.760,0","27.760,0","27.100,0","123,51K","-2,24%"
"29.07.2021","27.720,0","28.290,0","28.290,0","27.720,0","59,22K","-0,29%"
"28.07.2021","27.800,0","28.300,0","28.310,0","27.710,0","61,35K","-0,79%"
"27.07.2021","28.020,0","28.110,0","28.400,0","28.020,0","456,10K","-0,99%"
"26.07.2021","28.300,0","28.330,0","28.480,0","27.730,0","646,17K","0,11%"
