"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.09.2021","13,83","14,12","14,13","13,76","594,42K","-1,71%"
"02.09.2021","14,07","13,90","14,15","13,90","560,91K","2,03%"
"01.09.2021","13,79","13,94","14,02","13,77","626,82K","-1,22%"
"31.08.2021","13,96","13,73","14,02","13,73","650,42K","0,79%"
"30.08.2021","13,85","14,04","14,04","13,69","536,54K","-0,65%"
"27.08.2021","13,94","13,74","14,01","13,74","712,25K","2,65%"
"26.08.2021","13,58","13,83","13,84","13,55","443,33K","-2,30%"
"25.08.2021","13,90","13,83","13,92","13,74","768,82K","0,29%"
"24.08.2021","13,86","13,79","13,97","13,70","654,76K","1,84%"
"23.08.2021","13,61","13,40","13,62","13,28","697,99K","4,05%"
"20.08.2021","13,08","12,78","13,14","12,75","823,39K","0,93%"
"19.08.2021","12,96","12,96","13,06","12,69","1,96M","-1,97%"
"18.08.2021","13,22","13,13","13,54","13,13","1,75M","0,69%"
"17.08.2021","13,13","12,88","13,19","12,82","1,29M","0,92%"
"16.08.2021","13,01","13,16","13,16","12,85","928,40K","-2,77%"
"13.08.2021","13,38","13,45","13,69","13,35","1,28M","-1,11%"
"12.08.2021","13,53","13,45","13,63","13,34","1,31M","1,65%"
"11.08.2021","13,31","13,03","13,33","13,03","427,76K","1,29%"
"10.08.2021","13,14","13,05","13,17","12,99","569,63K","2,02%"
"09.08.2021","12,88","12,55","12,89","12,51","880,62K","0,86%"
"06.08.2021","12,77","12,92","12,99","12,70","961,75K","-0,93%"
"05.08.2021","12,89","13,10","13,22","12,85","1,23M","-1,68%"
"04.08.2021","13,11","13,44","13,51","12,99","881,98K","-2,09%"
"03.08.2021","13,39","13,23","13,39","12,77","1,22M","0,90%"
"02.08.2021","13,27","13,66","13,81","13,25","981,31K","-1,78%"
"30.07.2021","13,51","13,83","13,83","13,40","608,46K","-1,75%"
"29.07.2021","13,75","13,69","13,91","13,60","507,80K","1,78%"
"28.07.2021","13,51","13,38","13,57","13,18","525,95K","2,04%"
"27.07.2021","13,24","13,35","13,35","13,16","517,49K","-0,82%"
"26.07.2021","13,35","13,11","13,41","13,11","736,48K","2,22%"
"23.07.2021","13,06","13,21","13,21","12,82","1,04M","-0,76%"
"22.07.2021","13,16","13,17","13,27","13,04","821,21K","-0,23%"
