"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.09.2021","1.103,0","1.109,0","1.119,0","1.100,0","4,09M","-2,39%"
"17.09.2021","1.130,0","1.120,0","1.130,0","1.110,0","10,35M","1,35%"
"16.09.2021","1.115,0","1.111,0","1.117,0","1.111,0","9,23M","0,09%"
"15.09.2021","1.114,0","1.111,0","1.120,0","1.111,0","5,63M","-0,09%"
"14.09.2021","1.115,0","1.107,0","1.115,0","1.107,0","3,15M","0,00%"
"13.09.2021","1.115,0","1.120,0","1.125,0","1.103,0","2,47M","0,00%"
"10.09.2021","1.115,0","1.114,0","1.125,0","1.113,0","2,70M","0,09%"
"09.09.2021","1.114,0","1.117,0","1.128,0","1.112,0","15,17M","-0,54%"
"08.09.2021","1.120,0","1.126,0","1.126,0","1.116,0","3,90M","-0,53%"
"07.09.2021","1.126,0","1.135,0","1.135,0","1.117,0","4,16M","0,00%"
"06.09.2021","1.126,0","1.128,0","1.135,0","1.125,0","734,52K","-0,79%"
"03.09.2021","1.135,0","1.140,0","1.140,0","1.125,0","2,43M","-0,44%"
"02.09.2021","1.140,0","1.130,0","1.141,0","1.125,0","3,88M","1,79%"
"01.09.2021","1.120,0","1.119,0","1.125,0","1.114,0","2,67M","0,00%"
"31.08.2021","1.120,0","1.114,0","1.120,0","1.110,0","3,53M","0,09%"
"30.08.2021","1.119,0","1.116,0","1.121,0","1.113,0","1,50M","-0,62%"
"27.08.2021","1.126,0","1.110,0","1.127,0","1.110,0","8,83M","0,72%"
"26.08.2021","1.118,0","1.129,0","1.133,0","1.113,0","5,24M","-1,06%"
"25.08.2021","1.130,0","1.136,0","1.137,0","1.125,0","6,03M","0,71%"
"24.08.2021","1.122,0","1.132,0","1.142,0","1.122,0","5,35M","-0,62%"
"23.08.2021","1.129,0","1.123,0","1.135,0","1.123,0","6,96M","0,89%"
